Time,Blow_Consumed_kWh,Blow_Produced_kWh,Schutz_Consumed_kWh,Schutz_Produced_kWh
2023-01-01 00:00:00,19.2,0.0,84.0,0.0
2023-01-01 01:00:00,6.8,0.0,79.8,0.0
2023-01-01 02:00:00,3.6,0.0,80.4,0.0
2023-01-01 03:00:00,4.0,0.0,83.1,0.0
2023-01-01 04:00:00,3.6,0.0,78.9,0.0
2023-01-01 05:00:00,4.0,0.0,86.1,0.0
2023-01-01 06:00:00,3.6,0.0,78.0,0.0
2023-01-01 07:00:00,4.0,0.0,82.8,0.0
2023-01-01 08:00:00,4.0,0.0,83.1,0.0
2023-01-01 09:00:00,3.6,1.093244832,77.4,0.433195248
2023-01-01 10:00:00,4.0,32.665315392,88.5,12.943541087999998
2023-01-01 11:00:00,3.6,54.499205088,81.9,21.595159632
2023-01-01 12:00:00,4.0,22.886125344000003,88.5,9.068564015999998
2023-01-01 13:00:00,3.6,1.093244832,85.2,0.433195248
2023-01-01 14:00:00,4.0,0.0,85.5,0.0
2023-01-01 15:00:00,3.6,0.0,92.7,0.0
2023-01-01 16:00:00,4.0,0.0,87.6,0.0
2023-01-01 17:00:00,24.0,0.0,91.2,0.0
2023-01-01 18:00:00,44.8,0.0,87.0,0.0
2023-01-01 19:00:00,26.4,0.0,86.7,0.0
2023-01-01 20:00:00,23.6,0.0,89.4,0.0
2023-01-01 21:00:00,22.4,0.0,87.6,0.0
2023-01-01 22:00:00,22.0,0.0,155.1,0.0
2023-01-01 23:00:00,111.6,0.0,168.0,0.0
2023-01-02 00:00:00,110.4,0.0,249.9,0.0
2023-01-02 01:00:00,190.8,0.0,366.0,0.0
2023-01-02 02:00:00,226.0,0.0,333.0,0.0
2023-01-02 03:00:00,222.0,0.0,327.9,0.0
2023-01-02 04:00:00,214.4,0.0,255.3,0.0
2023-01-02 05:00:00,206.4,0.0,270.6,0.0
2023-01-02 06:00:00,186.8,0.0,315.6,0.0
2023-01-02 07:00:00,180.0,0.0,300.3,0.0
2023-01-02 08:00:00,196.8,0.0,296.7,0.0
2023-01-02 09:00:00,231.2,0.634142016,345.0,0.2512770239999999
2023-01-02 10:00:00,268.8,2.44554768,379.2,0.96904152
2023-01-02 11:00:00,268.8,11.130492672,347.7,4.410427007999998
2023-01-02 12:00:00,259.2,9.386102016,357.0,3.719217024
2023-01-02 13:00:00,266.0,0.673150752,399.3,0.266734128
2023-01-02 14:00:00,279.6,0.0,415.2,0.0
2023-01-02 15:00:00,290.8,0.0,420.6,0.0
2023-01-02 16:00:00,290.4,0.0,410.1,0.0
2023-01-02 17:00:00,251.2,0.0,395.1,0.0
2023-01-02 18:00:00,261.2,0.0,386.4,0.0
2023-01-02 19:00:00,265.2,0.0,383.4,0.0
2023-01-02 20:00:00,262.0,0.0,383.7,0.0
2023-01-02 21:00:00,260.8,0.0,291.6,0.0
2023-01-02 22:00:00,284.8,0.0,240.3,0.0
2023-01-02 23:00:00,262.8,0.0,237.3,0.0
2023-01-03 00:00:00,260.8,0.0,225.0,0.0
2023-01-03 01:00:00,270.0,0.0,236.7,0.0
2023-01-03 02:00:00,283.6,0.0,236.4,0.0
2023-01-03 03:00:00,286.8,0.0,234.9,0.0
2023-01-03 04:00:00,264.0,0.0,228.0,0.0
2023-01-03 05:00:00,256.8,0.0,223.8,0.0
2023-01-03 06:00:00,264.4,0.0,218.1,0.0
2023-01-03 07:00:00,257.2,0.0,284.7,0.0
2023-01-03 08:00:00,224.8,0.0,398.1,0.0
2023-01-03 09:00:00,223.2,6.53646384,375.6,2.59005576
2023-01-03 10:00:00,222.4,23.751319104,370.2,9.411394656
2023-01-03 11:00:00,237.2,30.389805792,374.1,12.041876688
2023-01-03 12:00:00,300.4,11.147496479999996,374.1,4.417164720000001
2023-01-03 13:00:00,310.8,1.766395584,373.8,0.6999293759999999
2023-01-03 14:00:00,310.8,0.0,375.6,0.0
2023-01-03 15:00:00,309.6,0.0,381.0,0.0
2023-01-03 16:00:00,312.8,0.0,366.6,0.0
2023-01-03 17:00:00,311.6,0.0,340.5,0.0
2023-01-03 18:00:00,309.2,0.0,336.9,0.0
2023-01-03 19:00:00,306.0,0.0,367.5,0.0
2023-01-03 20:00:00,304.4,0.0,369.9,0.0
2023-01-03 21:00:00,309.6,0.0,370.8,0.0
2023-01-03 22:00:00,310.0,0.0,367.2,0.0
2023-01-03 23:00:00,307.6,0.0,334.5,0.0
2023-01-04 00:00:00,310.4,0.0,324.9,0.0
2023-01-04 01:00:00,307.2,0.0,312.6,0.0
2023-01-04 02:00:00,310.4,0.0,306.9,0.0
2023-01-04 03:00:00,309.2,0.0,216.9,0.0
2023-01-04 04:00:00,313.2,0.0,287.4,0.0
2023-01-04 05:00:00,313.6,0.0,305.7,0.0
2023-01-04 06:00:00,295.2,0.0,311.4,0.0
2023-01-04 07:00:00,274.8,0.0,348.6,0.0
2023-01-04 08:00:00,246.4,0.0,372.3,0.0
2023-01-04 09:00:00,264.4,0.3620810879999999,385.5,0.143473632
2023-01-04 10:00:00,248.0,9.335090591999998,366.9,3.699003888
2023-01-04 11:00:00,254.8,4.343972832,368.1,1.721287248
2023-01-04 12:00:00,278.4,1.268284032,386.7,0.5025540479999999
2023-01-04 13:00:00,297.2,0.421094304,403.2,0.166857456
2023-01-04 14:00:00,310.4,0.0,406.5,0.0
2023-01-04 15:00:00,304.4,0.0,395.1,0.0
2023-01-04 16:00:00,300.8,0.0,388.2,0.0
2023-01-04 17:00:00,306.8,0.0,386.4,0.0
2023-01-04 18:00:00,316.4,0.0,379.5,0.0
2023-01-04 19:00:00,310.0,0.0,367.2,0.0
2023-01-04 20:00:00,296.8,0.0,367.8,0.0
2023-01-04 21:00:00,315.6,0.0,355.8,0.0
2023-01-04 22:00:00,313.6,0.0,365.4,0.0
2023-01-04 23:00:00,312.0,0.0,233.7,0.0
2023-01-05 00:00:00,215.6,0.0,220.8,0.0
2023-01-05 01:00:00,226.8,0.0,212.7,0.0
2023-01-05 02:00:00,242.8,0.0,216.9,0.0
2023-01-05 03:00:00,290.4,0.0,214.2,0.0
